Gender,Major,Study_Hours,Sleep_Hours,Attendance_Rate,Assignment_Score,Lab_Score,Class_Participation,Project_Score,Midterm_Score,Final_Score
Male,Science,31.77701000933254,4.890523804492249,71.13473926650626,63.43988075150991,72.72567701270279,55.4620491211145,54.23243767923145,95.47777142186013,47.691994136047626
Female,Engineering,16.64655641289899,6.875341641056957,91.93172788836748,59.93222884487029,48.00498013139243,90.16312294863602,55.96358360198717,50.9016004912615,31.75674676380188
Male,Engineering,33.801978510059634,4.742919438953496,73.05015672164588,62.342851379786644,81.4986041183991,92.61929864146266,61.229119132695054,77.8523793096117,37.593147275750205
Male,Engineering,36.10585745283823,8.140083945534403,71.97533494821393,65.32077246755182,87.70069221570822,0.9098181280775997,75.00989677613926,89.36744242048536,35.23692946503622
Male,Engineering,35.5979044793104,7.123659629401755,69.30023968831324,77.75668933765942,49.80126698458939,7.541217599278827,92.022137527301,77.06676913506337,50.662894097087104
Female,Engineering,40.807807255546216,4.8136727508026045,65.18715912896941,79.39958147319163,46.25878524111293,25.035872957085548,85.06466710441921,66.19477762901896,47.06122785786537
Male,Science,38.33922154548904,6.536186384425205,70.25852244067065,71.32498736209305,48.73092896724155,66.93154163635016,89.45203021010235,56.812528254598895,45.23490561584785
Male,Engineering,34.59180079228437,5.871765391614125,74.21278993895551,80.77103899104176,92.6276537139101,88.8272196511506,67.54878119630457,94.37815359080957,48.496435529466275
Male,Science,29.29834288541353,7.478761765628771,86.95976832582922,54.078746280568296,71.69135570538137,45.994195129396275,70.2326870824275,73.53811961938015,38.32334445875629
Female,Science,13.390390664840087,9.010675669034717,62.50259368877806,54.389411852908,68.03565976045016,60.697311627426544,69.68409429953064,93.90575984928506,34.084298754003854
Male,Engineering,34.296182191325855,4.187241295531383,68.42027758661372,58.59147301788292,46.402709146141255,18.849985279556115,59.59365922022508,79.29260612165842,35.24834884654492
Male,Engineering,32.076876871631114,7.172539118721126,92.36094561166706,75.90387490201724,78.97336040541771,80.49668338816853,53.0608329071786,83.70960583075004,34.11722169190024
Male,Science,32.715788371953735,6.7598008066500395,65.87687694335084,60.69973393491568,92.07997551370539,96.73281113534698,79.54580464136134,90.2130577189225,46.3412121914518
Male,Engineering,17.232514241796906,8.007010114675698,73.70580586090087,64.16422017462887,89.69115215940718,26.85989329145975,99.4608341710293,82.95777723000671,43.608135445584345
Female,Engineering,19.189434595917376,7.319794942356534,94.5863568743256,70.0156418086497,77.56328253884809,49.48259516005463,58.34148524751314,69.90274203394688,41.69413709775275
Male,Science,40.53152853332904,5.872046002391771,66.19701244573771,90.59330620051898,44.516722999100416,8.61161105063738,52.334240994963686,75.68166919643255,39.97963647675484
Female,Science,29.60444846143345,6.521419096500073,63.3094734247276,50.693106795643004,46.743821630560774,55.91366564629684,88.97658409119666,90.152276233794,47.02392516651738
Female,Engineering,36.81500697372624,5.805961214794767,79.38151980320043,82.46894101183112,42.95853922658948,50.27834418466806,62.629300334236206,68.68251481864921,47.96840743525881
Female,Science,30.283183761304613,8.614010707897897,72.09678045114146,83.44382655203427,55.448752989548154,14.44364841550776,91.48219026764642,69.40607283842485,49.10556884983624
Male,Engineering,30.29756139495745,7.031967473007914,82.53633457935416,89.93278901783182,48.13968802962266,44.2066213118075,85.19683335172577,54.78450580290006,45.029495188186665
