monthly_charges,total_charges,tenure_months,customer_age,support_calls,internet_usage_gb,num_services,churn
20.0,1008.498152170516,47,69.50898228842024,1,259.0973607236452,3,0
102.24386085624776,2690.822943468814,27,41.09354002656505,2,228.5927841363854,1,0
86.58340798049699,3277.106204243074,38,21.51647009157819,3,264.81120739998664,1,0
70.90980161262195,1793.7085769113048,25,46.33342015828462,2,151.8280404053544,4,0
70.94683761814267,4570.241000214383,63,49.64303665114525,2,339.9729198935529,3,0
62.02752150532199,2528.2500668457456,40,35.88852638332515,2,343.34415014925395,2,0
31.48826218471295,1197.7969377029092,43,31.873469236134675,2,194.7138227059578,1,0
67.19862559622668,4357.416600987009,62,44.59841728114208,3,241.1653197597101,2,0
70.48422721790587,3564.1552739087324,51,35.13637506013356,2,210.4375730890798,1,0
34.84600775724032,2359.5664622263016,67,43.46819384292242,1,216.516856690204,1,0
47.31503947443317,3087.636828278203,63,36.43590008278528,1,196.7230703114063,3,0
99.9128827406694,5235.4169811119455,53,49.2758089900067,0,0.0,4,0
100.89088902912276,7135.811383519927,69,31.87635937253202,1,136.01365949150082,2,0
48.3636175341876,2199.654406476463,47,35.83309717154604,1,304.11533953784146,1,0
77.70132205554542,4550.990123697315,58,35.28028369328635,2,175.9954489215317,3,0
63.8445135571088,3810.7668834819497,59,28.98415071580248,3,67.06718557167963,4,0
82.5664020571034,1038.8578727752797,13,38.71780549356742,5,153.65897373755234,2,0
114.01404198434255,3545.388621643902,32,38.308530839567936,6,92.38366643960052,4,0
65.20662437044578,1251.4877209514725,18,44.59856703816949,3,130.04124756847835,4,0
50.29952834603856,1291.5085126239755,26,26.15273367509336,1,100.50440997234742,4,0
69.40063985904915,3654.430524932558,52,29.091901318789965,3,324.6576398606017,2,0
78.53403598350437,3346.335492810924,43,46.15363734038126,2,227.04512802065983,3,0
61.9248093221708,1581.0798955605069,26,26.68512493574908,1,148.55162183052903,4,0
105.68713590602609,3880.025006146257,37,38.386488300683645,5,104.7333937427118,2,0
59.38650880452752,3243.2206611403053,54,62.792140493475,4,110.8667785048936,1,0
62.48500178036147,1906.9692872062976,32,32.06020421964054,6,290.99297067079544,4,0
93.00411085093263,4024.236040671769,42,36.18548075206149,0,265.3894408129413,1,0
59.793142523877584,2160.7409779705404,39,47.74052858560722,0,229.37980056652964,2,0
93.824649141302,5125.011026132987,54,46.72161256758717,1,241.9007673188667,4,0
90.62228917843484,1971.5779203590528,22,36.621501648427525,3,295.2441122320534,3,0
